Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Mean,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Packet Length Variance,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Active Std,Active Max,Active Min,Idle Std
91.462738,15,3497,2044,66,233.13333333333333,2922,66,100.75141201217922,0.3061355980836698,3.3875088148148147,8.6483065136052,0.0,6.530081785714286,0.000189,91.423292,7.618607666666666,11.673533580037946,30.821437,0.0,5,0,300,0.1640012132591088,0.142134384824561,66,454437.5956632652,0,0,10,27,0,0.8666666666666667,64240,142,0.0,0.0,0.0,0.0,7.78343
81.818768,6,2028,338,338,338.0,0,0,24.78648908524264,0.0733328079445048,16.3637536,10.40016630814455,6.246145,16.3637536,6.246145,0.0,0.0,0.0,0.0,0.0,0,0,48,0.0733328079445048,0.0,338,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,7.273297
21.810871,20,4180,293,125,209.0,0,0,191.64755043482677,0.9169739255254868,1.1479405789473685,4.4658070559527765,0.0,1.1479405789473685,0.0,0.0,0.0,0.0,0.0,0.0,0,0,160,0.9169739255254868,0.0,125,7056.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
22.530493,14,1442,103,103,103.0,0,0,64.00215033022135,0.6213801002934113,1.733114846153846,5.307131753069273,0.0,1.733114846153846,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,0.6213801002934113,0.0,103,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
0.005212,1,103,103,103,103.0,140,140,46623.17728319264,383.72985418265546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,191.86492709132773,191.86492709132773,103,342.25,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.00494,1,103,103,103,103.0,189,189,59109.31174089069,404.8582995951417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,202.4291497975709,202.4291497975709,103,1849.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.002013,1,90,90,90,90.0,155,155,121708.89220069548,993.5419771485346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,496.7709885742673,496.7709885742673,90,1056.25,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
38.249917,12,3593,2036,54,299.4166666666667,316,66,122.327062827352,0.5751646467625015,1.8214246190476195,6.459052130384521,0.0,3.4772651818181823,4.7e-05,37.996858,4.221873111111111,9.368269149239996,29.999927,0.0,5,0,240,0.3137261709613644,0.261438475801137,54,177669.03512396693,2,2,8,19,0,0.8333333333333334,64240,501,0.0,0.0,0.0,0.0,0.0
0.008087,1,85,85,85,85.0,101,101,22999.87634475083,247.31049833065413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,123.65524916532706,123.65524916532706,85,64.0,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
0.00797,1,85,85,85,85.0,110,110,24466.75031367629,250.94102885821832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8,125.47051442910916,125.47051442910916,85,156.25,0,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0
