Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Act_data_pkt_fwd,Min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
35548,1.0,1,0,113,0,113,113,113.0,0.0,0,0,0,0,113.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,113,113,113.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,113.0,113.0,0,0,0,0,113,1727764929.803883,0.0,1727764929.803883,1727764929.803883,0.0,0.0,0.0,0.0
47812,1.0,1,0,125,0,125,125,125.0,0.0,0,0,0,0,125.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,125,125,125.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,125.0,125.0,0,0,0,0,125,1727764929.803883,0.0,1727764929.803883,1727764929.803883,0.0,0.0,0.0,0.0
53,1.0,1,0,99,0,99,99,99.0,0.0,0,0,0,0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,99,99,99.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,99.0,99.0,0,0,0,0,99,1727764929.805967,0.0,1727764929.805967,1727764929.805967,0.0,0.0,0.0,0.0
53,1.0,1,0,88,0,88,88,88.0,0.0,0,0,0,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,88,88,88.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,88.0,88.0,0,0,0,0,88,1727764929.806969,0.0,1727764929.806969,1727764929.806969,0.0,0.0,0.0,0.0
53,1.0,1,0,97,0,97,97,97.0,0.0,0,0,0,0,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,97,97,97.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,97.0,97.0,0,0,0,0,97,1727764929.808344,0.0,1727764929.808344,1727764929.808344,0.0,0.0,0.0,0.0
60120,1.0,1,0,149,0,149,149,149.0,0.0,0,0,0,0,149.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,149,149,149.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,149.0,149.0,0,0,0,0,149,1727764929.839087,0.0,1727764929.839087,1727764929.839087,0.0,0.0,0.0,0.0
43778,1.0,1,0,138,0,138,138,138.0,0.0,0,0,0,0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,138,138,138.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,138.0,138.0,0,0,0,0,138,1727764929.83952,0.0,1727764929.83952,1727764929.83952,0.0,0.0,0.0,0.0
36263,1.0,1,0,147,0,147,147,147.0,0.0,0,0,0,0,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,147,147,147.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,147.0,147.0,0,0,0,0,147,1727764929.840262,0.0,1727764929.840262,1727764929.840262,0.0,0.0,0.0,0.0
53,1.0,1,0,107,0,107,107,107.0,0.0,0,0,0,0,107.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,107,107,107.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,107.0,107.0,0,0,0,0,107,1727764929.965036,0.0,1727764929.965036,1727764929.965036,0.0,0.0,0.0,0.0
39572,1.0,1,0,164,0,164,164,164.0,0.0,0,0,0,0,164.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,164,164,164.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,164.0,164.0,0,0,0,0,164,1727764929.970932,0.0,1727764929.970932,1727764929.970932,0.0,0.0,0.0,0.0
53,1.0,1,0,90,0,90,90,90.0,0.0,0,0,0,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,90,90,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,90.0,90.0,0,0,0,0,90,1727764930.817463,0.0,1727764930.817463,1727764930.817463,0.0,0.0,0.0,0.0
53,1.0,1,0,90,0,90,90,90.0,0.0,0,0,0,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,90,90,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,90.0,90.0,0,0,0,0,90,1727764930.817654,0.0,1727764930.817654,1727764930.817654,0.0,0.0,0.0,0.0
55039,1.0,1,0,106,0,106,106,106.0,0.0,0,0,0,0,106.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,106,106,106.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,106.0,106.0,0,0,0,0,106,1727764930.823162,0.0,1727764930.823162,1727764930.823162,0.0,0.0,0.0,0.0
41036,1.0,1,0,118,0,118,118,118.0,0.0,0,0,0,0,118.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,118,118,118.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,118.0,118.0,0,0,0,0,118,1727764930.840585,0.0,1727764930.840585,1727764930.840585,0.0,0.0,0.0,0.0
53,1.0,1,0,90,0,90,90,90.0,0.0,0,0,0,0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,90,90,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,90.0,90.0,0,0,0,0,90,1727764930.865468,0.0,1727764930.865468,1727764930.865468,0.0,0.0,0.0,0.0
54715,1.0,1,0,140,0,140,140,140.0,0.0,0,0,0,0,140.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,140,140,140.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,140.0,140.0,0,0,0,0,140,1727764930.887788,0.0,1727764930.887788,1727764930.887788,0.0,0.0,0.0,0.0
53,1.0,1,0,95,0,95,95,95.0,0.0,0,0,0,0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,95,95,95.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,95.0,95.0,0,0,0,0,95,1727764933.616336,0.0,1727764933.616336,1727764933.616336,0.0,0.0,0.0,0.0
53,1.0,1,0,95,0,95,95,95.0,0.0,0,0,0,0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,95,95,95.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,95.0,95.0,0,0,0,0,95,1727764933.616544,0.0,1727764933.616544,1727764933.616544,0.0,0.0,0.0,0.0
53,1.0,1,0,95,0,95,95,95.0,0.0,0,0,0,0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,95,95,95.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,95.0,95.0,0,0,0,0,95,1727764933.616701,0.0,1727764933.616701,1727764933.616701,0.0,0.0,0.0,0.0
60938,1.0,1,0,158,0,158,158,158.0,0.0,0,0,0,0,158.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,158,158,158.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,158.0,158.0,0,0,0,0,158,1727764933.622504,0.0,1727764933.622504,1727764933.622504,0.0,0.0,0.0,0.0
54098,1.0,1,0,246,0,246,246,246.0,0.0,0,0,0,0,246.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,246,246,246.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,246.0,246.0,0,0,0,0,246,1727764933.623003,0.0,1727764933.623003,1727764933.623003,0.0,0.0,0.0,0.0
53,1.0,1,0,104,0,104,104,104.0,0.0,0,0,0,0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,104,104,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,104.0,104.0,0,0,0,0,104,1727764933.623383,0.0,1727764933.623383,1727764933.623383,0.0,0.0,0.0,0.0
51929,1.0,1,0,246,0,246,246,246.0,0.0,0,0,0,0,246.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,246,246,246.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,246.0,246.0,0,0,0,0,246,1727764933.627972,0.0,1727764933.627972,1727764933.627972,0.0,0.0,0.0,0.0
53,1.0,1,0,104,0,104,104,104.0,0.0,0,0,0,0,104.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,34,0,1.0,0.0,104,104,104.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,104.0,104.0,0,0,0,0,104,1727764933.628343,0.0,1727764933.628343,1727764933.628343,0.0,0.0,0.0,0.0
